Katakana,Transliteration,Additional
カバー,cover,"covers, covering, coverings, book cover, book covers, dust cover, dust covers, protective cover, protective covers, lid, lids"
クリーム,cream,"cream, creams, creamy, crème"
クレジット,credit,"credit, credits, credit card, credit cards, creditcard, creditcards"
カップ,cup,"cup, cups, mug, mugs, tumbler, tumblers"
カレー,curry,"curry, curries, curry dish, curry dishes, Japanese curry, curry rice, curry and rice"
カット,cut,"cut, cuts, cutting, haircut, haircuts, trim, trims, trimming"
サイクル,cycle,"cycles, cycling, bicycle, bicycles, bike, bikes, loop, loops, rotation, rotations, period, periods"
データ,data,"data, datum, information, facts, statistics, records, details, figures"
データーベース,database,"database, databases, data base, data bases, DB, DBs"
デート,date,"date, dates, dating, romantic date, romantic dates, go on a date, go on dates"
デー,day,"day, days, D, letter D"
ディーラー,dealer,"dealer, dealers, car dealer, car dealers, auto dealer, auto dealers, card dealer, card dealers, drug dealer, drug dealers, distributor, distributors"
デフレ,deflation,"deflation, deflationary, economic deflation, price deflation, monetary deflation, deflationary pressure, deflationary spiral, deflationary period, deflationary trend, deflationary environment"
デザイン,design,"design, designs, designing, designer, designers"
デスクトップ,desktop,"desktop, desktops, desktop computer, desktop computers, desktop PC, desktop PCs"
ディテール,detail,"detail, details, detailing, particulars, specifics, fine points, minutiae, intricacies"
ダイエット,diet,"diet, diets, dieting, weight loss, slimming, dietary restriction, dietary restrictions, nutrition plan, nutrition plans, weight management, fitness regimen, health regimen"
デジタル,digital,"digital, digitally, digitization, digitized, digitalize, digitalization"
デジカメ,,"digital camera, digital cameras, digicam, digicams, point-and-shoot camera, point-and-shoot cameras, compact camera, compact cameras"
ディスク,disc,"disk, discs, disks, compact disc, CD, DVD, hard disk, floppy disk, optical disc"
ドル,dollar,"dollar, dollars, USD, US dollar, US dollars, American dollar, American dollars"
ドア,door,"doors, doorway, doorways, entrance, entrances, entry, entries, portal, portals"
ダウン,down,"down, down jacket, down jackets, down coat, down coats, downward, decrease, fall"
ダウンロード,download,"download, downloads, downloading, downloaded"
ドライブ,drive,"drive, drives, driving, car ride, car rides, road trip, road trips"
エイト,eight,"eight, 8, eighth, eights"
エンジン,engine,"engines, motor, motors"
エラー,error,"error, errors, mistake, mistakes, bug, bugs, fault, faults"
イベント,event,"events, happening, occasion, function, gathering, activity, program, show"
エクセル,Excel,"Excel, Microsoft Excel, spreadsheet, spreadsheet software, spreadsheet application, spreadsheet program"
ファン,fan,"fan, fans, enthusiast, enthusiasts, supporter, supporters, admirer, admirers, follower, followers"
ファイル,file,"files, document, documents, record, records, folder, folders"
ファースト,first,"first, 1st, firsts, first place, first-class, first-rate"
フロー,flow,"flow, flows, flowchart, flowcharts, workflow, workflows"
フォルダー,folder,"folder, folders, directory, directories, file folder, file folders"
フォーラム,forum,"forums, discussion forum, online forum, message board, bulletin board, discussion board, community forum, web forum"
フリー,free,"free, freedom, liberal, unrestricted, complimentary, gratis, no charge, at liberty, unoccupied, available, freelance, independent"
フル,full,"full, complete, entire, whole, maximum, total"
ゲーム,game,"games, gaming, video game, video games, board game, board games, card game, card games"
ガス,gas,"gas, gases, natural gas, propane, fuel gas, cooking gas, city gas"
ガソリン,gasoline,"gasoline, gas, petrol, fuel, motor fuel, automotive fuel"
グローバル,global,"global, worldwide, international, universal, planetary, world-wide, globe-spanning, multinational, transnational, cross-border, all-encompassing, comprehensive"
グラム,gram,"gram, grams, gramme, grammes, g"
グリーン,green,"green, greens, the green, verdant, emerald"
グループ,group,"groups, team, teams, band, bands, organization, organizations, collective, collectives, unit, units"
ガイド,guide,"guide, guides, guidebook, guidebooks, manual, manuals, handbook, handbooks, tour guide, tour guides"
ガイドライン,guideline,"guidelines, guide, guides, standard, standards, protocol, protocols, procedure, procedures, rule, rules, policy"
ギター,guitar,"guitars, acoustic guitar, electric guitar, bass guitar, classical guitar, acoustic guitars, electric guitars, bass guitars, classical guitars"
ハード,hard,"hard, hardware, difficult, tough, rigid, solid, harsh, severe, intense, extreme"
ヘクタール,hectare,"hectare, hectares, ha"
ヘリコプター,helicopter,"helicopter, helicopters, chopper, choppers, heli, helis, whirlybird, whirlybirds"
ハイ,hi,"hi, yes, high, hai"
ハイテク,hi-tech,"high-tech, high tech, hi-tech, hitech, high-technology, high technology, advanced technology, cutting-edge technology"
ホーム,home,"home, homes, platform, platforms, homepage, homepages, home page, home pages"
ホテル,hotel,"hotels, inn, lodge, motel, resort, accommodation"
イン-in,in,"in, inn, inns"
インフラ,infra,"infrastructure, infrastructures, infra, infras"
イニシアチブ,initiative,"initiative, initiatives, lead, leadership, taking the lead, first move, proactive action, enterprise, drive, action"
インストール,install,"install, installs, installing, installation, installations, setup, setups"
インターネット,internet,"internet, Internet, web, World Wide Web, WWW, net, online, cyberspace"
イオン,ion,"ion, ions, ionic"
イスラム,Islam,"Islam, Islamic, Muslim, Muslims, Islamic faith, Islamic religion"
キー,key,"key, keys"
キロ,kilo,"kilo, kilogram, kilograms, kg, kilometer, kilometers, km, kilos"
キログラム,kilogram,"kilogram, kilograms, kg, kilo, kilos"
キロメートル,kilometer,"kilometer, kilometres, kilometers, kilometre, km, klick, klicks"
キス,kiss,"kiss, kisses, kissing, smooch, smooches, peck, pecks"
ノウハウ,know-how,"know-how, expertise, knowledge, skill, experience, technical knowledge, practical knowledge, knowhow"
ランド,land,"land, lands, theme park, theme parks, amusement park, amusement parks, park, parks, country, countries"
リーグ,league,"league, leagues"
レベル,level,"level, levels, grade, grades, stage, stages, tier, tiers, rank, ranks, degree, degrees"
ライセンス,license,"license, licence, licenses, licences, licensing, permit, permits, certification, authorization"
ライフ,life,"life, lives, lifestyle, lifestyles, lifespan, lifespans, lifetime, lifetimes"
ライン,line,"line, lines, queue, queues, row, rows, production line, assembly line, production lines, assembly lines, boundary, boundaries"
リンク,link,"links, hyperlink, hyperlinks, web link, web links, URL, connection, connections"
リスト,list,"list, lists, listing, listings"
リテラシー,literacy,"literacy, literacies, digital literacy, media literacy, information literacy, computer literacy, financial literacy, health literacy"
リチウム,lithium,lithium
ライブ,live,"live performance, concert, gig, live show, live event, live music, live concerts, live performances, gigs, live shows, live events"
ローン,loan,"loan, loans, credit, mortgage, mortgages, financing, debt, borrowing"
ログ,log,"log, logs, record, records, logfile, log file, log files, logfiles"
ラブ,love,"love, loves, loving, loved, romance, affection"
メール,mail,"email, e-mail, emails, e-mails, electronic mail, message, messages"
メーン,main,"main, mane, Maine"
メーク,make,"makeup, make-up, cosmetics, face paint, beauty products, cosmetic products"
メーカー,maker,"maker, makers, manufacturer, manufacturers, producer, producers, company, companies, brand, brands"
マン,man,"man, men, guy, dude, person, individual, male, fellow"
マネージメント,management,"management, administration, supervision, oversight, direction, control, governance, leadership, managing, administering"
マナー,manner,"manners, etiquette, courtesy, politeness, behavior, behaviour, conduct, decorum"
マニュアル,manual,"manual, manuals, handbook, handbooks, guide, guides, instruction manual, instruction manuals, user manual, user manuals, guidebook, guidebooks"
マップ,map,"maps, mapping, chart, charts"
マーク,mark,"mark, marks, marking, markings, symbol, symbols, sign, signs, logo, logos, brand, brands"
マス,mass,"mass, masses, math, mathematics, square, squares, grid square, grid squares, box, boxes"
ミー,me,"me, myself, I"
メディア,media,"media, medium, mediums, mass media, news media, digital media, social media, multimedia, press, journalism"
メガバイト,megabyte,"megabyte, megabytes, MB, Mb, mega byte, mega bytes, mega-byte, mega-bytes"
メンバー,member,"member, members"
メモリー,memory,"memory, memories, RAM, storage, computer memory, data storage, memoir, memoirs"
メニュー,menu,"menu, menus"
メリット,merit,"merit, merits, advantage, advantages, benefit, benefits, plus, pluses, positive, positives, pro, pros"
メッセージ,message,"message, messages, text, texts, note, notes, communication, communications"
メートル,meter,"meter, metre, meters, metres"
ミニ,mini,"mini, small, tiny, miniature, compact, petite, little, micro, pocket-sized"
マイナス,minus,"minus, negative, subtract, subtraction, minus sign, negative sign, -"
ミサイル,missile,"missile, missiles, rocket, rockets, projectile, projectiles"
ミス,miss,"miss, mistake, error, misses, mistakes, errors, blunder, blunders, fault, faults"
モード,mode,"mode, modes, setting, settings, style, styles, fashion, method, methods"
モデル,model,"model, models"
マウス,mouse,"mouse, mice, computer mouse, computer mice, optical mouse, wireless mouse, gaming mouse"
マイ,my,"my, mine, personal, own"
ニーズ,needs,"needs, need, requirements, demands, necessities, wants, desires"
ネット,net,"net, nets, internet, network, mesh, netting, web, online, cyber"
ネットワーク,network,"network, networks, networking, net, nets"
ニュー,new,"new, newer, newest, fresh, novel, recent, latest, brand new, brand-new"
ニュース,news,"news, news report, news reports, newscast, newscasts, bulletin, bulletins"
ノー,no,"no, nope, nah, negative, denial, refusal, rejection"
ナンバー,number,"number, numbers, no., num, nums, #"
オブ,of,"of, ob"
オフィス,office,"office, offices, workplace, workplaces, business office, business offices"
オイル,oil,"oil, oils"
オーケー,OK,"okay, O.K., ok, alright, all right, fine, good, yes, agreed, acceptable"
オン,on,"on, ohm, ohms"
ワン,one,"one, woof, bark, dog bark, bow-wow, arf"
オプション,option,"options, choice, choices, alternative, alternatives, selection, selections"
オア,or,"or, oar, oars"
アウト,out,"out, outs, safe, elimination, eliminated, strike out, strikeout, tagged out"
パック,pack,"pack, packs, package, packages, facial pack, face pack, face mask, facial mask, beauty pack, cosmetic pack, treatment pack, skincare pack"
パンフレット,pamphlet,"pamphlet, pamphlets, brochure, brochures, leaflet, leaflets, flyer, flyers, booklet, booklets"
パート,part,"part, parts, part-time, part-time job, part-time work, part-timer, part-time worker, part-time employee"
パートナーシップ,partnership,"partnership, partnerships, alliance, collaboration, joint venture, cooperation, alliances, collaborations, joint ventures, cooperations, business partnership, strategic partnership"
パスワード,password,"password, passwords, passcode, passcodes, PIN, access code, login credentials, authentication key"
パトロール,patrol,"patrol, patrols, patrolling, security patrol, police patrol, guard duty, rounds, beat"
パターン,pattern,"patterns, design, designs, template, templates, model, models"
ピーク,peak,"peak, peaks, summit, summits, top, tops, climax, zenith, apex, maximum, high point, pinnacle"
パーセント,percent,"percent, percentage, percents, percentages, %"
パソコン,,"personal computer, PC, computer, personal computers, PCs, computers, laptop, desktop, laptops, desktops"
ペット,pet,"pets, companion animal, companion animals, domestic animal, domestic animals"
ピアノ,piano,"piano, pianos"
プラン,plan,"plan, plans, scheme, schemes, project, projects, program, programs, strategy, strategies, blueprint, blueprints"
プラスチック,plastic,"plastic, plastics, synthetic resin, polymer, polymers"
プレー,play,"play, plays, playing, gameplay, game play"
プレーヤー,player,"player, players"
プラス,plus,"plus, addition, positive, add, plus sign, plus signs, additions, positives"
ポイント,point,"point, points, score, scores, reward point, reward points, loyalty point, loyalty points, tip, tips"
プレゼント,present,"present, presents, gift, gifts"
プリンター,printer,"printer, printers, printing device, printing machine, computer printer"
プロ,pro,"professional, professionals, expert, experts, specialist, specialists, pros"
プロセス,process,"process, processes, procedure, procedures, method, methods, system, systems"
プログラム,program,"programs, programme, programmes, software, application, app, code, programming, schedule, agenda"
プロジェクト,project,"projects, proj, initiative, undertaking, venture, scheme, plan, assignment, task, endeavor, enterprise, program"
プロバイダー,provider,"provider, providers, internet service provider, ISP, service provider, internet provider, network provider, ISPs, internet service providers, service providers"
クエスチョン,question,"questions, query, queries, inquiry, inquiries, interrogation, interrogations"
ラジオ,radio,"radio, radios"
レンジ,range,"microwave, microwave oven, microwaves, ranges, stove, cooking range, kitchen range, oven range, stoves"
レシピ,recipe,"recipe, recipes, cooking recipe, cooking recipes, formula, formulas, instructions, directions"
リサイクル,recycle,"recycle, recycling, recycles, recycled, reuse, reusing"
リハビリテーション,rehabilitation,"rehabilitation, rehab, physical therapy, physiotherapy, occupational therapy, therapy, recovery, treatment, medical rehabilitation, therapeutic treatment, restorative therapy, recuperation"
レンタル,rental,"rental, rentals, rent, renting, hire, hiring, lease, leasing"
リンク,link,"links, hyperlink, hyperlinks, web link, web links, URL, connection, connections"
リスク,risk,"risk, risks, hazard, hazards, danger, dangers, peril, perils, threat, threats"
ロック,rock,"rock, lock, rocks, locks, rock music, rock and roll"
ロケット,rocket,"rockets, missile, missiles, spacecraft, space rocket, space rockets"
ルート,route,"route, routes, root, roots, path, paths, way, ways, course, courses"
ルール,rule,"rule, rules, regulation, regulations, law, laws, guideline, guidelines"
ソース,sauce,"sauce, sauces, source, sources"
シーン,scene,"scene, scenes, setting, settings, moment, moments, situation, situations"
サイエンス,science,"science, sciences, scientific"
セキュリティー,security,"security, securities, safety, protection, safeguard, safeguards, cyber security, cybersecurity, information security, data security, network security, computer security"
セミナー,seminar,"seminar, seminars, workshop, workshops, conference, conferences, lecture, lectures, training session, training sessions"
シリーズ,series,"series, TV series, book series, film series, movie series, television series, drama series, anime series, manga series, game series, video game series, sequel series"
サーバー,server,"server, servers"
セット,set,"set, sets, kit, kits, package, packages, bundle, bundles, collection, collections, suite, suites"
シャンプー,shampoo,"shampoo, shampoos, hair shampoo, hair wash, hair cleanser"
シェア,share,"share, shares, sharing, market share, shared"
シート,sheet,"sheet, sheets, seat, seats"
シャツ,shirt,"shirt, shirts, blouse, blouses, top, tops"
ショック,shock,"shock, shocks, shocked, shocking, surprise, trauma, impact, jolt, blow, setback"
ショップ,shop,"shop, shops, store, stores, boutique, boutiques, retail store, retail stores"
ショー,show,"show, shows, performance, performances, exhibition, exhibitions, display, displays, presentation, presentations, spectacle, spectacles"
サイト,site,"sites, website, websites, web site, web sites, internet site, internet sites, online site, online sites"
サイズ,size,"size, sizes, sizing"
サッカー,soccer,"soccer, football, association football, footie"
スープ,soup,"soup, soups, broth, broths, stew, stews"
スピード,speed,"speed, speeds, velocity, pace, rate, tempo"
スポーツ,sports,"sport, athletics, sporting activities, physical activities, games, recreational activities"
スタッフ,staff,"staff, staffs, personnel, employees, crew, team, workers, workforce, team members"
スタート,start,"start, starts, starting, starter, begin, beginning, commence, launch"
ストック,stock,"stock, stocks, inventory, supply, supplies, reserve, reserves, stockpile, stockpiles"
ストレス,stress,"stress, stresses, tension, pressure, strain, anxiety, worry, burden"
スタイル,style,"styles, styling, fashion, design, manner, way, approach, method"
スーツ,suit,"suits, business suit, business suits, formal suit, formal suits, dress suit, dress suits"
サミット,summit,"summit, summits, peak, peaks, conference, conferences, meeting, meetings, top-level meeting, diplomatic summit"
スーパー,super,"supermarket, supermarkets, grocery store, grocery stores, market, markets, super, supers"
シンポジウム,symposium,"symposium, symposiums, symposia, conference, seminar, academic conference, scholarly meeting"
システム,system,"systems, systematic, systemic"
タバコ,tobacco,"cigarette, cigarettes, smoke, smokes, cig, cigs"
テーブル,table,"table, tables, desk, desks, dining table, dining tables"
テープ,tape,"tape, tapes, adhesive tape, scotch tape, masking tape, duct tape, cassette tape, recording tape, magnetic tape"
チーム,team,"teams, squad, squads, crew, crews, group, groups"
テレビジョン,television,"television, TV, televisions, TVs, telly, tellies, tube, the tube, boob tube, idiot box"
テロ,terror,"terrorism, terrorist attack, terror attack, terrorist attacks, terror attacks, terrorist incident, terrorist incidents, terrorist activity, terrorist activities"
テスト,test,"test, tests, testing, exam, exams, quiz, quizzes"
ザ,the,the
タイム,time,"time, times, thyme"
タイミング,timing,"timing, timings"
タイヤ,tire,"tire, tires, tyre, tyres, wheel, wheels"
タイトル,title,"title, titles, heading, headings, caption, captions"
ツー-to,two,"two, 2, second, pair, duo, couple, twin, double, twos, pairs, duos, couples"
トン,ton,"ton, tons, tonne, tonnes, metric ton, metric tons"
ツール,tool,"tools, implement, implements, instrument, instruments, device, devices, utility, utilities, equipment"
トップ,top,"top, tops, summit, peak, apex, pinnacle, highest point, upper part, lid, cap, cover"
ツアー,tour,"tour, tours, trip, trips, excursion, excursions, journey, journeys, sightseeing tour, guided tour, package tour"
タオル,towel,"towels, bath towel, hand towel, face towel, beach towel, kitchen towel, dish towel, washcloth"
トラブル,trouble,"trouble, troubles, problem, problems, issue, issues, difficulty, difficulties, malfunction, malfunctions, breakdown, breakdowns"
ツー,two,"two, 2, second, pair, couple, dual, double, twice, twos, pairs, couples, seconds"
タイプ,type,"types, typing, typed"
アップ,up,"up, ups, app, apps, application, applications"
ウラン,,uranium
ユーザー,user,"user, users, end user, end users, system user, system users, account holder, account holders"
バージョン,version,"versions, ver, v, release, releases, edition, editions"
ビデオ,video,"video, videos, videotape, videotapes, VHS, recording, recordings, tape, tapes"
ビタミン,vitamin,"vitamin, vitamins"
ボランティア,volunteer,"volunteer, volunteers, volunteering, voluntary work, charity work, community service, unpaid work, voluntary service"
ウェブ,web,"web, webs, website, websites, world wide web, internet, WWW, net, online, webpage, webpages, web page"
ウィン,win,"win, wins, victory, victories, triumph, triumphs"
ウインドー,window,"windows, shop window, display window, storefront, shopfront, store window, showcase"
ワイン,wine,"wine, wines"
ワード,word,"word, words, Word, Microsoft Word, MS Word"
ユー,you,"you, U, letter U, yew, ewe"
バイト,byte,"byte, bytes, part-time job, part-time work, baito, arbeit"
マイク,mic,"microphone, microphones, mics, mike, mikes"
スーパー,super,"supermarket, supermarkets, grocery store, grocery stores, market, markets, super market, super markets"
デパート,depart,"department store, department stores, depart"
ビル,building,"building, buildings, office building, office buildings, high-rise, high-rises, skyscraper, skyscrapers, tower, towers"
イラスト,illustration,"illustration, illustrations, drawing, drawings, artwork, artworks, graphic, graphics, picture, pictures, image, images"
メーク,make,"makeup, make-up, cosmetics, cosmetic, face paint, beauty products, make up"
ダイヤ,diamond,"diamond, diamonds, dia, gem, gems, jewel, jewels, precious stone, precious stones"
パソコン,,"personal computer, PC, computer, personal computers, PCs, computers, laptop, desktop, laptops, desktops"
ワープロ,,"word processor, word processors, WP, text processor, text processors, document processor, document processors"
省エネ（しょうエネ）,,"energy saving, energy conservation, energy efficiency, power saving, energy-saving, energy-efficient, eco-friendly, green technology, conservation, efficiency"
食パン（しょくパン）,,"bread, white bread, sandwich bread, sliced bread, loaf bread, toast bread, bread loaf, loaves, breads"
軽トラ（けいトラ）,kei truck,"kei truck, kei trucks, mini truck, mini trucks, Japanese mini truck, Japanese mini trucks, light truck, light trucks, compact truck, compact trucks, small truck, small trucks"
なつメロ,,"oldies, golden oldies, nostalgic songs, classic hits, retro music, vintage songs, old songs, nostalgia music"
アメフト,,"American football, football, gridiron football, NFL, college football, pro football"
プロレス,pro wrestling,"professional wrestling, wrestling, pro-wrestling, sports entertainment, puroresu"
コンビニ,convenience store,"convenience store, convenience stores, corner store, corner stores, mini-mart, mini-marts, bodega, bodegas, konbini"
エアコン,air con,"air conditioner, air conditioning, AC, A/C, air conditioners, air cons, aircon, aircons"
マスコミ,,"mass communication, mass media, media, press, news media, mainstream media, mass communications, the media, news outlets, media outlets, journalism, broadcast media"
ドライブする,drive,"drive, drives, driving, drove, driven, go for a drive, take a drive, go driving"
キスする,kiss,"kiss, to kiss, kissing, kisses, kissed, smooch, peck, smooching, pecking"
ノックする,knock,"knock, knocks, knocking, knocked, to knock, tap, taps, tapping, tapped, to tap, rap, raps"
タイプする,type,"type, typing, to type, types, typed, typewriter, keyboard input, input text, text input"
アルバイト,,"part-time job, part-time work, part-time jobs, part-time, side job, side jobs, temporary job, temporary work, casual work, casual job, baito, arbeit"
エンジン,engine,"engines, motor, motors"
ガム,gum,"gum, chewing gum, bubble gum, gums, chewing gums, bubble gums"
カメラ,camera,"camera, cameras, cam, cams"
ガラス,glass,"glass, glasses, glassware, crystal, window glass, drinking glass, drinking glasses, tumbler, tumblers"
カレンダー,calendar,"calendar, calendars, planner, planners, date book, date books, scheduler, schedulers"
テレビ,TV,"television, televisions, TVs, telly, tellies, tube, boob tube, idiot box"
ホテル,hotel,"hotels, inn, lodge, motel, resort, accommodation"
レストラン,restaurant,"restaurant, restaurants, eatery, eateries, dining establishment, dining establishments, bistro, bistros, cafe, cafes"
マッチ,match,"match, matches, matchstick, matchsticks"
ミシン,,"sewing machine, sewing machines, machine, machines"
ルール,rule,"rules, regulation, regulations, law, laws, guideline, guidelines, standard, standards, principle, principles"
レジ,register,"cash register, checkout, till, registers, cash registers, checkouts, tills, cashier"
アメリカ人,American,"American, Americans, American person, American people, US citizen, US citizens, United States citizen, United States citizens"
イタリア人,Italian person,"Italian, Italians, Italian people, Italian man, Italian woman, Italian citizen, Italian citizens, Italian national, Italian nationals, person from Italy, people from Italy, native of Italy"
オランダ人,,"Dutch person, Dutch people, Dutchman, Dutchwoman, Dutch, Netherlands citizen, person from Holland, people from Holland, Holland native, Netherlands native, Hollander, Dutch national"
カナダ人,Canadian,"Canadian, Canadians, Canadian person, Canadian people, person from Canada, people from Canada, Canadian citizen, Canadian citizens"
スペイン人,Spanish person,"Spanish person, Spanish people, Spaniard, Spaniards, Spanish, Spanish man, Spanish woman, Spanish men, Spanish women, person from Spain, people from Spain, Spanish national"
ドイツ人,,"German, Germans, German person, German people, German national, German nationals, German citizen, German citizens"
フランス人,French person,"French person, French people, Frenchman, Frenchwoman, French, the French, French national, French citizen, French nationals, French citizens"
グラス,glass,"glass, glasses, drinking glass, drinking glasses, tumbler, tumblers, cup, cups"
スプーン,spoon,"spoon, spoons, tablespoon, teaspoon, dessert spoon, soup spoon"
フォーク,fork,"fork, forks, eating fork, dinner fork, table fork, utensil, cutlery"
ナイフ,knife,"knife, knives, blade, blades, cutting knife, kitchen knife"
ビール,beer,"beer, beers, lager, ale, brew, brews"
ワイン,wine,"wine, wines"
バス,bus,"bus, buses, bass, bath"
バイク,bike,"bike, bikes, motorcycle, motorcycles, motorbike, motorbikes, scooter, scooters"
コンピューター,computer,"computer, computers, PC, personal computer, personal computers, desktop, desktops, laptop, laptops, machine, machines"
インターネット,internet,"internet, Internet, web, World Wide Web, WWW, net, online, cyberspace"
ウェブサイト,website,"website, websites, web site, web sites, site, sites, webpage, webpages, web page, web pages"
ホテル,hotel,"hotels, inn, lodge, motel, resort, accommodation"
レストラン,restaurant,"restaurant, restaurants, eatery, eateries, dining establishment, dining establishments, bistro, bistros, cafe, cafes"
テーブル,table,"table, tables, desk, desks, dining table, dining tables"
サービス,service,"service, services"
エレベーター,elevator,"elevator, elevators, lift, lifts"
ドア,door,"door, doors, doorway, doorways, entrance, entrances, entry, entries, portal, portals"
サイズ,size,"size, sizes, sizing"
シャツ,shirt,"shirt, shirts, blouse, blouses, top, tops"
ネクタイ,necktie,"necktie, tie, neckties, ties"
サンダル,sandal,"sandals, sandal, flip-flops, flip-flop, slippers, slipper, open-toe shoes"
サングラス,sunglasses,"sunglasses, sunnies, shades, sun glasses"
テスト,test,"test, tests, testing, exam, exams, quiz, quizzes"
チョコレート,chocolate,"chocolate, chocolates, choco"
Tシャツ,T-shirt,"T-shirt, T-shirts, tee shirt, tee shirts, tee, tees, t shirt, t shirts"
ジーンズ,jeans,"jeans, denim, denim pants, blue jeans, denims, jean, denim jeans"
パーティー,party,"party, parties, celebration, celebrations, gathering, gatherings, event, events, social event, social events, festivities, festivity"
バイキング,viking,"viking, vikings, buffet, buffets, smorgasbord, all-you-can-eat, self-service meal"
ハンドルキーパー,handle keeper,"designated driver, designated drivers, DD, DDs, sober driver, sober drivers, non-drinking driver, non-drinking drivers"
アフターサービス,after service,"after-sales service, customer service, post-sale support, warranty service, technical support, maintenance service, after-sales support, customer support, post-purchase service, follow-up service"
ワンピース,one piece,"dress, one-piece dress, one piece dress, dresses, one-piece dresses, one piece dresses, jumpsuit, jumpsuits, romper, rompers, playsuit, playsuits"
サラリーマン,salaryman,"office worker, white-collar worker, company employee, corporate employee, businessman, office workers, white-collar workers, company employees, corporate employees, businessmen, salarymen"
オーエル,OL,"office lady, office ladies, female office worker, female office workers, working woman, working women, businesswoman, businesswomen"
アイスキャンディー,ice candy,"popsicle, ice pop, frozen pop, ice lolly, freezer pop, popsicles, ice pops, frozen pops, ice lollies, freezer pops"
イメチェン,,"image change, makeover, style change, look change, transformation, makeovers, image changes, style changes, look changes, transformations"
ノートパソコン,notebook personal computer,"laptop, laptop computer, notebook, notebook computer, laptops, laptop computers, notebooks, notebook computers, portable computer, portable computers"
ガソリンスタンド,gasoline stand,"gas station, petrol station, filling station, service station, gas stations, petrol stations, filling stations, service stations"
ベビーカー,baby car,"stroller, pushchair, pram, baby carriage, strollers, pushchairs, prams, baby carriages, buggy, buggies"
シャープペンシル,sharp pencil,"mechanical pencil, mechanical pencils, propelling pencil, propelling pencils, automatic pencil, automatic pencils, clutch pencil, clutch pencils, lead pencil, lead pencils, drafting pencil, drafting pencils"
ファイト!,fight,"fight, go for it, you can do it, hang in there, keep going, don't give up, fighting, good luck, do your best, keep it up, stay strong, push through"
スキンシップ,skinship,"physical affection, physical intimacy, physical contact, touching, cuddling, bonding through touch, skin-to-skin contact, physical closeness, intimate contact, affectionate touching, physical bonding, tactile intimacy"
かるた,,"karuta, Japanese card game, Japanese cards, traditional card game, poetry cards, card games"
ドロンケン,,"drunk, drunken, intoxicated, inebriated, tipsy, plastered, wasted, hammered, smashed, sloshed, boozy, soused"
ハム,ham,"ham, hams, deli ham, sliced ham, cured ham, processed ham"
ハトロン,,"tracing paper, vellum, translucent paper, drafting paper, architectural paper, overlay paper"
ピストル,pistol,"pistol, pistols, handgun, handguns, gun, guns, firearm, firearms, sidearm, sidearms"
ステッキ,stick,"walking stick, cane, walking cane, staff, walking sticks, canes, walking canes, sticks, staffs, staves"
ボス,boss,"boss, bosses, chief, manager, supervisor, leader, head, director, chiefs, managers, supervisors, leaders"